,area__rucc,area__urban_influence,econ__economic_typology,econ__pct_civilian_labor,econ__pct_unemployment,econ__pct_uninsured_adults,econ__pct_uninsured_children,demo__pct_female,demo__pct_below_18_years_of_age,demo__pct_aged_65_years_and_older,demo__pct_hispanic,demo__pct_non_hispanic_african_american,demo__pct_non_hispanic_white,demo__pct_american_indian_or_alaskan_native,demo__pct_asian,demo__pct_adults_less_than_a_high_school_diploma,demo__pct_adults_with_high_school_diploma,demo__pct_adults_with_some_college,demo__pct_adults_bachelors_or_higher,demo__birth_rate_per_1k,demo__death_rate_per_1k,health__pct_adult_obesity,health__pct_adult_smoking,health__pct_diabetes,health__pct_low_birthweight,health__pct_physical_inacticity,health__air_pollution_particulate_matter,health__motor_vehicle_crash_deaths_per_100k,health__pop_per_dentist,health__pop_per_primary_care_physician,yr,heart_disease_mortality_per_100k,health__pct_excessive_drinking
74,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a large metro area,Manufacturing-dependent,0.513,0.042,0.228,0.113,0.502,0.262,0.148,0.146,0.001,0.832,0,0,0.135135135,0.457457457,0.257257257,0.15015015,15,10,0.295,0.192,0.137,0.08,0.301,14,16.21,2740,3660,a,302,0.108
75,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",Nonspecialized,0.366,0.114,0.258,0.166,0.517,0.179,0.244,0.098,0.032,0.684,0.153,0.02,0.117824773,0.306143001,0.457200403,0.118831823,11,15,0.29,0.265,0.119,0.078,0.306,12,52.19,2349,1139,b,351,0.207
76,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Federal/State government-dependent,0.497,0.039,0.201,0.081,0.498,0.264,0.123,0.073,0.006,0.854,0.034,0.019,0.078411405,0.264765784,0.386965377,0.269857434,15,8,0.293,0.163,0.111,0.069,0.199,10,11.21,1120,1440,a,285,0.132
77,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Nonspecialized,0.379,0.101,0.295,0.092,0.521,0.236,0.178,0.007,0.451,0.521,0.004,0,0.220907298,0.316568047,0.297830375,0.16469428,10,14,0.361,0.203,0.164,0.131,0.382,13,40.38,4869,3809,b,315,0.139
78,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Nonspecialized,0.41,0.06,0.229,0.068,0.509,0.228,0.177,0.026,0.011,0.951,0.011,0.007,0.189431705,0.411764706,0.25224327,0.146560319,11,12,0.306,0.266,0.138,0.083,0.327,13,20.26,1480,1220,a,307,0.066
79,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Recreation,0.471,0.072,0.162,0.068,0.503,0.219,0.172,0.121,0.001,0.797,0.014,0.029,0.08190091,0.217391304,0.373104146,0.32760364,9,8,0.204,0.147,0.081,0.046,0.151,9,11,1330,1439,b,202,0.216
80,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.5,0.059,0.126,0.036,0.505,0.235,0.132,0.031,0,0.956,0,0.008,0.052525253,0.254545455,0.353535354,0.339393939,9,7,0.257,0.17,0.088,0.059,0.185,12,9.99,1749,2160,b,259,0.224
81,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.523,0.044,0.121,0.03,0.499,0.216,0.133,0.082,0.234,0.612,0,0.048,0.096192385,0.280561122,0.263527054,0.359719439,12,8,0.259,0.152,0.084,0.095,0.214,12,8.59,1800,1249,a,242,0.215
82,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",Recreation,0.641,0.067,0.089,0.031,0.491,0.217,0.141,0.099,0.069,0.809,0.002,0.017,0.049751244,0.258706468,0.255721393,0.435820896,12,7,0.236,0.147,0.076,0.056,0.191,10,44.1,1290,2020,b,242,0.254
83,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Farm-dependent,0.395,0.088,0.288,0.082,0.45,0.209,0.131,0.066,0.567,0.358,0.006,0.002,0.363089268,0.31995988,0.231695085,0.085255767,11,10,0.394,0.185,0.131,0.162,0.335,12,42,5840,5099,b,303,0.082
84,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.52,0.034,0.212,0.094,0.455,0.225,0.181,0.072,0.004,0.83,0.097,0.007,0.116465863,0.318273092,0.348393574,0.21686747,14,8,0.303,0.228,0.103,0.065,0.32,11,55.08,4759,2329,a,238,0.215
85,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Nonspecialized,0.438,0.064,0.237,0.1,0.508,0.251,0.183,0.412,0.008,0.544,0.033,0.019,0.153535354,0.28989899,0.411111111,0.145454545,10,13,0.284,0.202,0.076,0.099,0.202,13,24.06,4669,1159,a,272,0.155
86,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Federal/State government-dependent,0.537,0.058,0.2,0.069,0.518,0.24,0.098,0.163,0.63,0.145,0.008,0.041,0.143712575,0.264471058,0.279441118,0.31237525,13,6,0.333,0.14,0.119,0.092,0.234,13,12.3,1800,1800,b,204,0.106
87,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Manufacturing-dependent,0.56,0.046,0.201,0.106,0.51,0.232,0.19,0.085,0,0.901,0,0,0.106256207,0.441906653,0.302879841,0.148957299,11,12,0.319,0.207,0.119,0.073,0.27,13,20.41,3050,2220,a,248,0.109
88,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.475,0.053,0.215,0.088,0.518,0.27,0.128,0.059,0.113,0.76,0.008,0.024,0.107569721,0.297808765,0.323705179,0.270916335,14,8,0.318,0.212,0.106,0.089,0.254,13,7.56,1789,1629,b,243,0.167
89,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Farm-dependent,0.587,0.023,0.138,0.058,0.497,0.191,0.14,0.052,0.029,0.92,0.013,0.009,0.061752988,0.208167331,0.359561753,0.370517928,11,5,0.287,0.13,0.073,0.062,0.264,11,55.08,1879,1909,a,187,0.191
90,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a small metro area,Nonspecialized,0.373,0.081,0.209,0.033,0.529,0.205,0.181,0.009,0.018,0.973,0,0.011,0.160555005,0.474727453,0.266600595,0.098116947,10,12,0.366,0.337,0.117,0.1,0.392,13,29.06,3870,1689,a,317,0.104
91,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Recreation,0.498,0.085,0.196,0.079,0.503,0.195,0.227,0.018,0.005,0.951,0.013,0.004,0.079158317,0.346693387,0.324649299,0.249498998,10,13,0.316,0.122,0.108,0.07,0.203,11,14.55,2950,2490,b,236,0.139
92,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.535,0.05,0.115,0.053,0.502,0.24,0.163,0.011,0.003,0.973,0.005,0,0.074747475,0.35959596,0.349494949,0.216161616,11,8,0.291,0.225,0.09,0.072,0.257,11,17.04,4350,6520,b,250,0.195
93,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Farm-dependent,0.482,0.071,0.293,0.08,0.496,0.26,0.149,0.294,0,0.675,0.018,0.014,0.2,0.276616915,0.353233831,0.170149254,13,8,0.296,0.147,0.098,0.07,0.196,11,11.19,1879,2780,b,204,0.146
94,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Federal/State government-dependent,0.395,0.063,0.377,0.145,0.496,0.297,0.134,0.81,0.014,0.171,0.007,0.008,0.334673367,0.260301508,0.231155779,0.173869347,17,7,0.278,0.122,0.1,0.072,0.258,10,11.07,3369,3060,b,239,0.126
95,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,Nonspecialized,0.544,0.037,0.168,0.047,0.517,0.197,0.17,0.019,0.007,0.949,0,0.009,0.070121951,0.339430894,0.273373984,0.317073171,8,9,0.258,0.168,0.088,0.061,0.193,11,11.75,1780,1390,a,220,0.166
96,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Nonspecialized,0.416,0.08,0.233,0.067,0.494,0.229,0.148,0.01,0.01,0.97,0.007,0.01,0.228686058,0.421263791,0.258776329,0.091273821,12,12,0.349,0.293,0.116,0.086,0.361,14,23.18,3339,1850,b,344,0.078
97,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a small metro area,Manufacturing-dependent,0.49,0.057,0.227,0.109,0.506,0.257,0.139,0.086,0.009,0.876,0.001,0.008,0.158158158,0.412412412,0.287287287,0.142142142,13,9,0.332,0.272,0.101,0.071,0.257,13,18.98,4400,2790,b,281,0.154
98,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.557,0.036,0.096,0.025,0.504,0.234,0.129,0.015,0.002,0.937,0.009,0.013,0.108504399,0.377321603,0.278592375,0.235581623,13,9,0.291,0.197,0.076,0.074,0.246,11,16.77,2289,1660,a,239,0.2
99,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.524,0.046,0.226,0.116,0.524,0.217,0.139,0.193,0.11,0.657,0.004,0.033,0.073267327,0.240594059,0.332673267,0.353465347,10,8,0.244,0.184,0.109,0.078,0.206,11,8.76,1870,1349,a,221,0.206
100,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Farm-dependent,0.545,0.044,0.159,0.081,0.481,0.244,0.176,0.017,0.006,0.956,0.009,0.004,0.070436508,0.327380952,0.389880952,0.212301587,8,9,0.326,0.112,0.098,0.073,0.303,11,55.08,2050,2030,b,288,0.088
101,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a small metro area,Nonspecialized,0.338,0.115,0.255,0.074,0.516,0.24,0.16,0.021,0.383,0.447,0.112,0.018,0.21756487,0.341317365,0.285429142,0.155688623,12,11,0.351,0.248,0.158,0.129,0.278,12,22.47,4000,1439,a,327,0.087
102,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,Recreation,0.533,0.048,0.107,0.026,0.51,0.186,0.181,0.012,0.001,0.966,0,0.009,0.098522167,0.341871921,0.267980296,0.291625616,10,11,0.282,0.184,0.091,0.066,0.218,11,10.66,1429,1250,b,253,0.176
103,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a small metro area,Mining-dependent,0.341,0.112,0.233,0.046,0.504,0.209,0.158,0.01,0.023,0.952,0.002,0.002,0.234,0.424,0.265,0.077,12,15,0.413,0.376,0.157,0.121,0.442,13,33,9150,1400,b,369,0.104
104,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.538,0.028,0.163,0.085,0.501,0.254,0.165,0.041,0.01,0.848,0.089,0,0.063508065,0.410282258,0.338709677,0.1875,13,11,0.368,0.269,0.116,0.055,0.275,8,24.63,2670,1340,a,290,0.139
105,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Nonspecialized,0.443,0.073,0.235,0.108,0.514,0.233,0.179,0.401,0.006,0.558,0.025,0.008,0.158,0.294,0.397,0.151,12,14,0.252,0.205,0.076,0.1,0.213,13,21.59,4790,1250,b,272,0.152
106,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,Nonspecialized,0.467,0.08,0.278,0.089,0.479,0.255,0.132,0.25,0.003,0.694,0.045,0.011,0.166163142,0.29305136,0.380664653,0.160120846,14,8,0.337,0.216,0.107,0.058,0.241,10,13.97,1970,1870,b,238,0.152
107,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Federal/State government-dependent,0.435,0.063,0.136,0.042,0.49,0.188,0.133,0.024,0.044,0.916,0.001,0.006,0.138415246,0.360080241,0.27883651,0.222668004,9,9,0.323,0.166,0.092,0.071,0.263,11,13.07,1939,1450,a,260,0.224
108,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.453,0.033,0.188,0.107,0.511,0.187,0.33,0.014,0.001,0.959,0.01,0.001,0.199191102,0.322548028,0.295247725,0.183013145,11,18,0.321,0.182,0.1,0.072,0.336,10,51.35,2750,1369,a,220,0.208
109,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Federal/State government-dependent,0.269,0.076,0.26,0.058,0.455,0.221,0.135,0.025,0.055,0.902,0.008,0,0.279527559,0.407480315,0.247047244,0.065944882,11,10,0.334,0.404,0.149,0.1,0.317,13,17.9,17979,3609,a,353,0.095
110,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.494,0.042,0.211,0.056,0.509,0.248,0.107,0.047,0.114,0.808,0.014,0.006,0.089478859,0.30186824,0.32546706,0.283185841,13,7,0.291,0.181,0.101,0.083,0.277,12,14.82,2710,2010,a,277,0.142
111,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",Manufacturing-dependent,0.548,0.032,0.105,0.062,0.49,0.25,0.151,0.01,0.007,0.937,0.012,0.027,0.083333333,0.370588235,0.354901961,0.191176471,11,8,0.334,0.108,0.084,0.053,0.235,12,8.96,2579,1709,a,223,0.147
112,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.55,0.057,0.143,0.035,0.511,0.237,0.128,0.143,0.049,0.69,0.009,0.103,0.075924076,0.190809191,0.264735265,0.468531469,12,7,0.241,0.12,0.074,0.077,0.189,13,4.09,1039,740,a,208,0.206
113,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Farm-dependent,0.507,0.032,0.14,0.112,0.495,0.206,0.213,0.024,0.011,0.891,0.072,0,0.087857848,0.336623889,0.385982231,0.189536032,13,8,0.302,0.189,0.102,0.058,0.275,10,30.32,9510,5579,a,229,0.196
114,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.449,0.057,0.239,0.119,0.502,0.268,0.168,0.55,0,0.442,0.033,0.018,0.149753695,0.323152709,0.331034483,0.196059113,14,9,0.197,0.206,0.066,0.106,0.203,12,22.56,8270,2059,a,232,0.135
115,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.376,0.076,0.184,0.062,0.505,0.207,0.169,0.011,0.031,0.935,0.011,0,0.117938553,0.35777998,0.348860258,0.175421209,13,12,0.355,0.257,0.145,0.103,0.318,13,14.06,1479,799,a,332,0.095
116,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a large metro area,Nonspecialized,0.476,0.067,0.199,0.082,0.497,0.2,0.171,0.021,0.02,0.951,0.014,0.007,0.128712871,0.464356436,0.258415842,0.148514851,11,12,0.317,0.216,0.125,0.079,0.323,14,12.75,4410,1759,b,288,0.152
117,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Manufacturing-dependent,0.5,0.092,0.136,0.099,0.496,0.203,0.202,0.005,0.01,0.945,0.018,0,0.108782435,0.368263473,0.340319361,0.182634731,8,12,0.303,0.162,0.108,0.06,0.237,11,13.73,2679,2639,b,212,0.198
118,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Federal/State government-dependent,0.505,0.054,0.128,0.074,0.494,0.259,0.146,0.042,0.014,0.929,0.013,0.006,0.110997963,0.399185336,0.320773931,0.16904277,14,9,0.287,0.235,0.089,0.058,0.241,12,13.44,2180,1660,b,261,0.255
119,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Manufacturing-dependent,0.503,0.065,0.195,0.087,0.504,0.242,0.187,0.026,0.001,0.954,0.004,0.008,0.122877123,0.437562438,0.298701299,0.140859141,12,12,0.309,0.274,0.122,0.076,0.312,14,28.59,5760,8600,b,311,0.123
120,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Farm-dependent,0.536,0.037,0.131,0.056,0.503,0.224,0.194,0.025,0.004,0.966,0,0.008,0.097683787,0.422960725,0.325276939,0.15407855,12,11,0.316,0.237,0.102,0.08,0.269,10,20.67,5160,3650,a,216,0.238
121,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Nonspecialized,0.432,0.066,0.242,0.07,0.512,0.227,0.172,0.019,0.048,0.907,0,0,0.171717172,0.407070707,0.262626263,0.158585859,12,12,0.346,0.23,0.12,0.076,0.313,14,20.1,3520,1289,a,309,0.127
122,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Mining-dependent,0.409,0.091,0.38,0.168,0.495,0.333,0.097,0.04,0.006,0.3,0.64,0.011,0.139817629,0.349544073,0.351570415,0.159067882,24,9,0.353,0.271,0.122,0.07,0.286,11,75.6,2190,1090,b,281,0.185
123,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.464,0.051,0.117,0.056,0.515,0.201,0.189,0.018,0.061,0.903,0.001,0.008,0.106106106,0.442442442,0.235235235,0.216216216,10,12,0.325,0.224,0.115,0.079,0.258,14,15.25,1879,1360,a,274,0.124
124,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Nonspecialized,0.416,0.082,0.328,0.192,0.493,0.178,0.257,0.03,0.002,0.889,0.048,0.009,0.118006104,0.426246185,0.300101729,0.155645982,11,12,0.277,0.224,0.114,0.065,0.249,11,36.64,2839,1260,a,251,0.16
125,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Federal/State government-dependent,0.46,0.051,0.199,0.042,0.52,0.203,0.168,0.009,0.068,0.885,0.014,0.013,0.114770459,0.370259481,0.26247505,0.25249501,12,13,0.309,0.233,0.125,0.105,0.316,13,16.14,1370,799,b,277,0.099
126,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.452,0.085,0.288,0.109,0.51,0.237,0.151,0.095,0.145,0.738,0.015,0.019,0.205153617,0.306243806,0.297324083,0.191278494,12,11,0.273,0.208,0.11,0.091,0.317,13,15.63,2699,839,b,327,0.1
127,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a large metro area,Nonspecialized,0.442,0.064,0.212,0.062,0.51,0.241,0.164,0.038,0.03,0.898,0.002,0.007,0.153313551,0.399604352,0.256181998,0.190900099,13,12,0.354,0.262,0.132,0.079,0.351,14,23.1,1240,1290,a,335,0.083
128,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a small metro area,Manufacturing-dependent,0.426,0.081,0.234,0.094,0.518,0.217,0.177,0.002,0.279,0.687,0.001,0.011,0.216515609,0.376636455,0.286002014,0.120845921,10,11,0.351,0.217,0.146,0.101,0.297,13,17.17,8659,2279,b,252,0.145
129,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,Nonspecialized,0.453,0.075,0.136,0.048,0.515,0.219,0.169,0.117,0.014,0.848,0,0.009,0.151,0.363,0.314,0.172,12,12,0.267,0.294,0.09,0.073,0.248,11,9.61,1749,1720,b,343,0.186
