,area__rucc,area__urban_influence,econ__economic_typology,econ__pct_civilian_labor,econ__pct_unemployment,econ__pct_uninsured_adults,econ__pct_uninsured_children,demo__pct_female,demo__pct_below_18_years_of_age,demo__pct_aged_65_years_and_older,demo__pct_hispanic,demo__pct_non_hispanic_african_american,demo__pct_non_hispanic_white,demo__pct_american_indian_or_alaskan_native,demo__pct_asian,demo__pct_adults_less_than_a_high_school_diploma,demo__pct_adults_with_high_school_diploma,demo__pct_adults_with_some_college,demo__pct_adults_bachelors_or_higher,demo__birth_rate_per_1k,demo__death_rate_per_1k,health__pct_adult_obesity,health__pct_adult_smoking,health__pct_diabetes,health__pct_low_birthweight,health__pct_physical_inacticity,health__air_pollution_particulate_matter,health__motor_vehicle_crash_deaths_per_100k,health__pop_per_dentist,health__pop_per_primary_care_physician,yr,health__pct_excessive_drinking,heart_disease_mortality_per_100k
102,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Recreation,0.422,0.113,0.191,0.065,0.487,0.194,0.205,0.016,0,0.95,0.019,0,0.144590495,0.432760364,0.306370071,0.11627907,8,14,0.343,0.314,0.115,0.088,0.251,12,15.28,2610,2230,b,0.192,313.0737915
103,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a small metro area,Federal/State government-dependent,0.34,0.083,0.31,0.079,0.495,0.252,0.144,0.375,0.009,0.213,0.412,0.007,0.186440678,0.365902293,0.326021934,0.121635095,12,10,0.327,0.188,0.139,0.103,0.256,10,25.72,2270,1699,a,0.112,235.1869659
105,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a large metro area,Manufacturing-dependent,0.513,0.042,0.228,0.113,0.502,0.262,0.148,0.146,0.001,0.832,0,0,0.135135135,0.457457457,0.257257257,0.15015015,15,10,0.295,0.192,0.137,0.08,0.301,14,16.21,2740,3660,a,0.15,299.9182434
106,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",Nonspecialized,0.366,0.114,0.258,0.166,0.517,0.179,0.244,0.098,0.032,0.684,0.153,0.02,0.117824773,0.306143001,0.457200403,0.118831823,11,15,0.29,0.265,0.119,0.078,0.306,12,52.19,2349,1139,b,0.191,338.3718567
109,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Manufacturing-dependent,0.423,0.072,0.238,0.061,0.514,0.23,0.181,0.027,0.022,0.923,0.006,0.003,0.213640923,0.4222668,0.242728185,0.121364092,12,12,0.348,0.365,0.125,0.088,0.328,14,28.01,2530,2989,b,0.167,298.315918
110,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Nonspecialized,0.379,0.101,0.295,0.092,0.521,0.236,0.178,0.007,0.451,0.521,0.004,0,0.220907298,0.316568047,0.297830375,0.16469428,10,14,0.361,0.203,0.164,0.131,0.382,13,40.38,4869,3809,b,0.26,330.8398743
111,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Nonspecialized,0.41,0.06,0.229,0.068,0.509,0.228,0.177,0.026,0.011,0.951,0.011,0.007,0.189431705,0.411764706,0.25224327,0.146560319,11,12,0.306,0.266,0.138,0.083,0.327,13,20.26,1480,1220,a,0.13,316.2493591
112,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Recreation,0.471,0.072,0.162,0.068,0.503,0.219,0.172,0.121,0.001,0.797,0.014,0.029,0.08190091,0.217391304,0.373104146,0.32760364,9,8,0.204,0.147,0.081,0.046,0.151,9,11,1330,1439,b,0.123,207.2102051
113,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.5,0.059,0.126,0.036,0.505,0.235,0.132,0.031,0,0.956,0,0.008,0.052525253,0.254545455,0.353535354,0.339393939,9,7,0.257,0.17,0.088,0.059,0.185,12,9.99,1749,2160,b,0.155,239.2581635
114,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area",Micropolitan adjacent to a small metro area,Manufacturing-dependent,0.419,0.077,0.279,0.128,0.52,0.288,0.149,0.032,0.226,0.718,0.004,0.016,0.23015873,0.345238095,0.281746032,0.142857143,10,6,0.298,0.425,0.118,0.08,0.268,13,33.25,5020,5579,b,0.247,295.7382202
115,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a small metro area,Federal/State government-dependent,0.391,0.06,0.301,0.12,0.507,0.244,0.166,0.276,0.082,0.607,0.013,0.016,0.205153617,0.303270565,0.331020813,0.160555005,13,10,0.281,0.376,0.106,0.07,0.282,10,20.08,3280,1889,a,0.174,354.372467
116,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.523,0.044,0.121,0.03,0.499,0.216,0.133,0.082,0.234,0.612,0,0.048,0.096192385,0.280561122,0.263527054,0.359719439,12,8,0.259,0.152,0.084,0.095,0.214,12,8.59,1800,1249,a,0.219,247.2780914
117,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",Recreation,0.641,0.067,0.089,0.031,0.491,0.217,0.141,0.099,0.069,0.809,0.002,0.017,0.049751244,0.258706468,0.255721393,0.435820896,12,7,0.236,0.147,0.076,0.056,0.191,10,44.1,1290,2020,b,0.228,235.4206238
118,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Farm-dependent,0.395,0.088,0.288,0.082,0.45,0.209,0.131,0.066,0.567,0.358,0.006,0.002,0.363089268,0.31995988,0.231695085,0.085255767,11,10,0.394,0.185,0.131,0.162,0.335,12,42,5840,5099,b,0.142,310.9167786
119,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",Federal/State government-dependent,0.412,0.044,0.293,0.126,0.407,0.209,0.151,0.277,0.099,0.617,0.007,0.004,0.135188867,0.395626243,0.30417495,0.16500994,10,10,0.29,0.408,0.093,0.096,0.284,10,51.35,2109,769,b,0.114,306.1102905
120,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.52,0.034,0.212,0.094,0.455,0.225,0.181,0.072,0.004,0.83,0.097,0.007,0.116465863,0.318273092,0.348393574,0.21686747,14,8,0.303,0.228,0.103,0.065,0.32,11,55.08,4759,2329,a,0.114,253.9620819
121,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Nonspecialized,0.438,0.064,0.237,0.1,0.508,0.251,0.183,0.412,0.008,0.544,0.033,0.019,0.153535354,0.28989899,0.411111111,0.145454545,10,13,0.284,0.202,0.076,0.099,0.202,13,24.06,4669,1159,a,0.194,268.6408386
122,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Recreation,0.454,0.051,0.201,0.073,0.496,0.195,0.198,0.015,0,0.975,0,0.003,0.105054509,0.482656095,0.262636274,0.149653122,7,9,0.325,0.376,0.101,0.068,0.253,13,27.66,2599,5210,a,0.17,263.8677368
123,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Federal/State government-dependent,0.537,0.058,0.2,0.069,0.518,0.24,0.098,0.163,0.63,0.145,0.008,0.041,0.143712575,0.264471058,0.279441118,0.31237525,13,6,0.333,0.14,0.119,0.092,0.234,13,12.3,1800,1800,b,0.118,215.2083282
124,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Manufacturing-dependent,0.56,0.046,0.201,0.106,0.51,0.232,0.19,0.085,0,0.901,0,0,0.106256207,0.441906653,0.302879841,0.148957299,11,12,0.319,0.207,0.119,0.073,0.27,13,20.41,3050,2220,a,0.169,255.4057465
125,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.475,0.053,0.215,0.088,0.518,0.27,0.128,0.059,0.113,0.76,0.008,0.024,0.107569721,0.297808765,0.323705179,0.270916335,14,8,0.318,0.212,0.106,0.089,0.254,13,7.56,1789,1629,b,0.202,243.1960449
126,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Nonspecialized,0.363,0.097,0.342,0.103,0.512,0.252,0.145,0.013,0.72,0.263,0.001,0.003,0.348560079,0.299900695,0.228401192,0.123138034,15,11,0.429,0.135,0.203,0.129,0.39,13,30.97,5540,5600,a,0.22,361.2080383
127,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Farm-dependent,0.587,0.023,0.138,0.058,0.497,0.191,0.14,0.052,0.029,0.92,0.013,0.009,0.061752988,0.208167331,0.359561753,0.370517928,11,5,0.287,0.13,0.073,0.062,0.264,11,55.08,1879,1909,a,0.187,189.1812286
128,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a small metro area,Nonspecialized,0.373,0.081,0.209,0.033,0.529,0.205,0.181,0.009,0.018,0.973,0,0.011,0.160555005,0.474727453,0.266600595,0.098116947,10,12,0.366,0.337,0.117,0.1,0.392,13,29.06,3870,1689,a,0.161,318.9076233
129,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Recreation,0.498,0.085,0.196,0.079,0.503,0.195,0.227,0.018,0.005,0.951,0.013,0.004,0.079158317,0.346693387,0.324649299,0.249498998,10,13,0.316,0.122,0.108,0.07,0.203,11,14.55,2950,2490,b,0.079,243.3588715
130,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.535,0.05,0.115,0.053,0.502,0.24,0.163,0.011,0.003,0.973,0.005,0,0.074747475,0.35959596,0.349494949,0.216161616,11,8,0.291,0.225,0.09,0.072,0.257,11,17.04,4350,6520,b,0.145,238.5602417
131,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Farm-dependent,0.482,0.071,0.293,0.08,0.496,0.26,0.149,0.294,0,0.675,0.018,0.014,0.2,0.276616915,0.353233831,0.170149254,13,8,0.296,0.147,0.098,0.07,0.196,11,11.19,1879,2780,b,0.146,210.6095428
134,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.523,0.058,0.244,0.139,0.509,0.245,0.195,0.009,0.004,0.97,0.009,0,0.125246548,0.50295858,0.232741617,0.139053254,11,10,0.326,0.286,0.126,0.093,0.365,9,55.08,350,3800,b,0.161,254.4251251
135,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Nonspecialized,0.416,0.08,0.233,0.067,0.494,0.229,0.148,0.01,0.01,0.97,0.007,0.01,0.228686058,0.421263791,0.258776329,0.091273821,12,12,0.349,0.293,0.116,0.086,0.361,14,23.18,3339,1850,b,0.161,335.5066223
136,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.52,0.042,0.13,0.055,0.495,0.211,0.189,0.013,0.033,0.935,0.009,0.016,0.085742772,0.350947159,0.300099701,0.263210369,7,9,0.282,0.147,0.12,0.075,0.225,13,12.15,4710,2070,a,0.155,253.5279694
137,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a small metro area,Manufacturing-dependent,0.49,0.057,0.227,0.109,0.506,0.257,0.139,0.086,0.009,0.876,0.001,0.008,0.158158158,0.412412412,0.287287287,0.142142142,13,9,0.332,0.272,0.101,0.071,0.257,13,18.98,4400,2790,b,0.164,277.6824646
139,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.524,0.046,0.226,0.116,0.524,0.217,0.139,0.193,0.11,0.657,0.004,0.033,0.073267327,0.240594059,0.332673267,0.353465347,10,8,0.244,0.184,0.109,0.078,0.206,11,8.76,1870,1349,a,0.229,223.9110718
140,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",Recreation,0.41,0.06,0.273,0.153,0.519,0.157,0.329,0.092,0,0.875,0.01,0.014,0.120434353,0.272458045,0.335636723,0.271470879,8,15,0.258,0.183,0.127,0.075,0.311,9,16.48,2399,1189,b,0.266,201.5492401
141,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Farm-dependent,0.545,0.044,0.159,0.081,0.481,0.244,0.176,0.017,0.006,0.956,0.009,0.004,0.070436508,0.327380952,0.389880952,0.212301587,8,9,0.326,0.112,0.098,0.073,0.303,11,55.08,2050,2030,b,0.128,272.9743958
142,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Manufacturing-dependent,0.521,0.061,0.179,0.074,0.508,0.236,0.159,0.029,0.028,0.938,0.01,0.008,0.15936255,0.36752988,0.320717131,0.152390438,12,9,0.313,0.247,0.103,0.066,0.329,11,24.09,5510,6499,b,0.155,273.6625671
143,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a small metro area,Nonspecialized,0.338,0.115,0.255,0.074,0.516,0.24,0.16,0.021,0.383,0.447,0.112,0.018,0.21756487,0.341317365,0.285429142,0.155688623,12,11,0.351,0.248,0.158,0.129,0.278,12,22.47,4000,1439,a,0.15,328.1256104
144,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Farm-dependent,0.422,0.054,0.253,0.105,0.512,0.215,0.192,0.019,0.023,0.948,0,0,0.250764526,0.424057085,0.185524975,0.139653415,12,14,0.355,0.247,0.129,0.098,0.32,14,33.25,1820,2179,b,0.172,339.0674744
145,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,Recreation,0.533,0.048,0.107,0.026,0.51,0.186,0.181,0.012,0.001,0.966,0,0.009,0.098522167,0.341871921,0.267980296,0.291625616,10,11,0.282,0.184,0.091,0.066,0.218,11,10.66,1429,1250,b,0.289,247.3585968
146,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a small metro area,Mining-dependent,0.341,0.112,0.233,0.046,0.504,0.209,0.158,0.01,0.023,0.952,0.002,0.002,0.234,0.424,0.265,0.077,12,15,0.413,0.376,0.157,0.121,0.442,13,33,9150,1400,b,0.176,370.8439331
147,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.52,0.02,0.195,0.088,0.479,0.211,0.199,0.026,0,0.952,0.011,0.007,0.091089109,0.382178218,0.35049505,0.176237624,17,9,0.336,0.408,0.091,0.07,0.291,12,51.35,4230,5579,a,0.167,213.375473
148,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Federal/State government-dependent,0.474,0.055,0.216,0.065,0.517,0.207,0.184,0.022,0.188,0.768,0.016,0.007,0.174901186,0.350790514,0.28458498,0.18972332,10,12,0.308,0.165,0.141,0.076,0.287,13,12.82,5359,5389,a,0.101,272.8100281
150,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Nonspecialized,0.443,0.073,0.235,0.108,0.514,0.233,0.179,0.401,0.006,0.558,0.025,0.008,0.158,0.294,0.397,0.151,12,14,0.252,0.205,0.076,0.1,0.213,13,21.59,4790,1250,b,0.206,275.5735779
151,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Manufacturing-dependent,0.384,0.087,0.292,0.145,0.499,0.23,0.178,0.029,0.419,0.538,0.005,0,0.241691843,0.471299094,0.217522659,0.069486405,6,8,0.31,0.408,0.14,0.175,0.293,12,42.71,5020,3150,b,0.113,249.0482025
152,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,Nonspecialized,0.467,0.08,0.278,0.089,0.479,0.255,0.132,0.25,0.003,0.694,0.045,0.011,0.166163142,0.29305136,0.380664653,0.160120846,14,8,0.337,0.216,0.107,0.058,0.241,10,13.97,1970,1870,b,0.231,246.0072327
154,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.453,0.033,0.188,0.107,0.511,0.187,0.33,0.014,0.001,0.959,0.01,0.001,0.199191102,0.322548028,0.295247725,0.183013145,11,18,0.321,0.182,0.1,0.072,0.336,10,51.35,2750,1369,a,0.163,225.8903809
155,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Federal/State government-dependent,0.269,0.076,0.26,0.058,0.455,0.221,0.135,0.025,0.055,0.902,0.008,0,0.279527559,0.407480315,0.247047244,0.065944882,11,10,0.334,0.404,0.149,0.1,0.317,13,17.9,17979,3609,a,0.149,353.0054626
156,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Farm-dependent,0.508,0.076,0.233,0.106,0.496,0.243,0.193,0.005,0.006,0.974,0.003,0.009,0.124,0.428,0.32,0.128,12,13,0.314,0.237,0.115,0.058,0.322,10,34.12,3449,2319,a,0.194,314.6440735
157,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.494,0.042,0.211,0.056,0.509,0.248,0.107,0.047,0.114,0.808,0.014,0.006,0.089478859,0.30186824,0.32546706,0.283185841,13,7,0.291,0.181,0.101,0.083,0.277,12,14.82,2710,2010,a,0.147,277.2583313
158,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",Manufacturing-dependent,0.548,0.032,0.105,0.062,0.49,0.25,0.151,0.01,0.007,0.937,0.012,0.027,0.083333333,0.370588235,0.354901961,0.191176471,11,8,0.334,0.108,0.084,0.053,0.235,12,8.96,2579,1709,a,0.152,220.2155304
159,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.385,0.082,0.291,0.127,0.486,0.226,0.165,0.029,0.199,0.739,0.002,0.003,0.128654971,0.496101365,0.310916179,0.064327485,10,12,0.324,0.416,0.119,0.103,0.312,9,38.56,1279,7219,b,0.16,363.2921448
160,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.55,0.057,0.143,0.035,0.511,0.237,0.128,0.143,0.049,0.69,0.009,0.103,0.075924076,0.190809191,0.264735265,0.468531469,12,7,0.241,0.12,0.074,0.077,0.189,13,4.09,1039,740,a,0.269,208.0712738
161,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Manufacturing-dependent,0.387,0.098,0.256,0.091,0.507,0.252,0.155,0.014,0.428,0.541,0.007,0.001,0.189243028,0.420318725,0.25498008,0.135458167,13,14,0.345,0.187,0.141,0.102,0.337,13,25.87,4859,7179,b,0.089,357.6908875
163,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,Mining-dependent,0.371,0.041,0.287,0.113,0.434,0.22,0.124,0.39,0.056,0.536,0.01,0.005,0.21449851,0.321747766,0.342601787,0.121151936,14,12,0.33,0.425,0.113,0.099,0.312,10,18.74,3770,2920,b,0.158,345.2616272
164,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.449,0.057,0.239,0.119,0.502,0.268,0.168,0.55,0,0.442,0.033,0.018,0.149753695,0.323152709,0.331034483,0.196059113,14,9,0.197,0.206,0.066,0.106,0.203,12,22.56,8270,2059,a,0.239,228.0097809
